id,dragonid,description,name,image,background,wings,body,bodyscales,tail,ears,eyes,mouth,horns,headpiece,territory,class,attacktype,isMinted,,
1,5001,"10000 Unique Dragons NFTs living, evolving and mutating on Etheruem Blockchain. Dragons of Midgard is ready to disrupt the NFT market forever with unique play to earn game.",Dragon #5001,https://gateway.pinata.cloud/ipfs/QmSgZRBYXri3w8CaAyE8ThtXZuw2tqe4bnrBy7FrSH2zLD,Violet Whirlpool Background,Nightmare Wings,Gecko Dragon,Buckbeaks Feather Scales,Spade Tail,Pointy Bat Ears,Pretty Eyes,Suffering Mouth,Kudu Horns,Carnelian Headpiece,Enchanted Forest,Venemous,Poison Cloud,f,2021-10-17 18:19:03.147+05,2021-10-17 18:19:03.147+05
2,5002,"10000 Unique Dragons NFTs living, evolving and mutating on Etheruem Blockchain. Dragons of Midgard is ready to disrupt the NFT market forever with unique play to earn game.",Dragon #5002,https://gateway.pinata.cloud/ipfs/QmdeJbYRez9UvHpBouJD9TGKSJWz28cJMcFzn4q36RgPLZ,Aurora Dark Pink Background,Wasp Wings,Cheetah Dot Dragon,Checker Scales,Hungarian Horn Tail,Beetle ears,Insomnia Eyes,Devil Smiling Mouth,Hell Boy Horns,Crescent Spring Headpiece,Ashy Range,Firey,Red Fire,f,2021-10-17 18:19:03.281+05,2021-10-17 18:19:03.281+05
3,5003,"10000 Unique Dragons NFTs living, evolving and mutating on Etheruem Blockchain. Dragons of Midgard is ready to disrupt the NFT market forever with unique play to earn game.",Dragon #5003,https://gateway.pinata.cloud/ipfs/QmT8wZZUzjGqd8cfH5Ta9K6NhdCtH8sWjehcetGYiD1sZR,Salmon Chablis Background,Rouge Bat Wings,Morion Lava Dragon,Alligator Scales,Viper Tail,Zebu Horn Ears,Sleepy Eyes,Raunchy Mouth,Splinter Horns,Whirlpool Headpiece,Ashy Range,Lava Dragon,Volcanic Lava,f,2021-10-17 18:19:03.292+05,2021-10-17 18:19:03.292+05
4,5004,"10000 Unique Dragons NFTs living, evolving and mutating on Etheruem Blockchain. Dragons of Midgard is ready to disrupt the NFT market forever with unique play to earn game",Dragon #5004,https://gateway.pinata.cloud/ipfs/QmXfWEAb6pCWjE6zCc4xSzFL7vUnjsE4WEdBBDesCAjkwT,Floral Background,Fallen Angel Wings,Albino Embrace Dragon,Nord Shield Scales,Horny Chameleon Tail,Moon Light Ears,Sleepy Eyes,Geeky Mouth,Kudu Horns,Cyclone Headpiece,ICY Doman,Ice Fire,Dual Breath,f,2021-10-17 18:19:03.299+05,2021-10-17 18:19:03.299+05
5,5005,"10000 Unique Dragons NFTs living, evolving and mutating on Etheruem Blockchain. Dragons of Midgard is ready to disrupt the NFT market forever with unique play to earn game",Dragon #5005,https://gateway.pinata.cloud/ipfs/Qmf3J2jikXogM284zSzra85LMWxsimrktfxyVwtjYnYFyL,Goldenrod Background,Transveral Blue Wings,Fuscia Daisy Dragon,Furry Scales,Scope Tail,Thought Bubble Ears,Drowsy Eyes,Lucky Mouth,Pudu Horns,Layered Opal Headpiece,SHIRE,Magical,Exploding Poopcorn,f,2021-10-17 18:19:03.319+05,2021-10-17 18:19:03.319+05
6,5006,"10000 Unique Dragons NFTs living, evolving and mutating on Etheruem Blockchain. Dragons of Midgard is ready to disrupt the NFT market forever with unique play to earn game",Dragon #5006,https://gateway.pinata.cloud/ipfs/QmSmVmMibihttBFdZeMmFk8BKGDgP4fA2dqBrqnRgs8tY9,Fandango Background,Chestnut Wings,Neon Grape Dragon,Beehive Scales,Green Flame Tail,Shamrock Sheep Ears,Arrogant Eyes,Lucky Mouth,Battle X Horns,White Rhino Headpiece,SHIRE,Venomous,Venonous Gale,f,2021-10-17 18:19:03.327+05,2021-10-17 18:19:03.327+05
8,5008,"10000 Unique Dragons NFTs living, evolving and mutating on Etheruem Blockchain. Dragons of Midgard is ready to disrupt the NFT market forever with unique play to earn game.",Dragon #5008,https://gateway.pinata.cloud/ipfs/Qmav13U8TvyDtvSfAcVgEFcRYjp9pdEEGnmMhedZcRSWhA,Deep Pink Orchid Background,Flamingo Wings,Lightning Jade Dragon,Wavy Incensed Scales,Fire Arrow Tail,Black Gargoyle Ears,Glaring Eyes,Suffering Mouth,Snail Shell Horns,Rhino Horn Headpiece,Argon Mountain,Electric Beam,Thunder Dragon,f,2021-10-17 18:19:03.335+05,2021-10-17 18:19:03.335+05
9,5009,"10000 Unique Dragons NFTs living, evolving and mutating on Etheruem Blockchain. Dragons of Midgard is ready to disrupt the NFT market forever with unique play to earn game",Dragon #5009,https://gateway.pinata.cloud/ipfs/QmQUo2VzKEoFd6orja3fDGbQm33u4v3TtBnG1FGsnL2Mwv,Exposed Shadow Background,Sahara Wings,Electro Yale Dragon,Obsidian Scales,Fire Heart Tail,Sad Astronaut Ears,Starry Night Eyes,Ecstatic Mouth,Maleficient Horns,Layered Opal Headpiece,CITRCA,Aquatic Dragon,Cyclone Breath,f,2021-10-17 18:19:03.349+05,2021-10-17 18:19:03.349+05
10,5010,"10000 Unique Dragons NFTs living, evolving and mutating on Etheruem Blockchain. Dragons of Midgard is ready to disrupt the NFT market forever with unique play to earn game.",Dragon #5010,https://gateway.pinata.cloud/ipfs/Qmf32DYkREyeR9NeqtpimqG3UpvybHhUJBxmZZqKBsSJF9,Salmon Background,Silver Vulture Wings,Lightning Jade Dragon,Fishy Scales,Median Strip Tail,Cambion Ears,Insomnia Eyes,Puerile Mouth,Candy Horns,Blood Ruby Headpiece,Argon Mountain,Electric Beam,Thunder Dragon,f,2021-10-17 18:19:03.351+05,2021-10-17 18:19:03.351+05
11,5011,"10000 Unique Dragons NFTs living, evolving and mutating on Etheruem Blockchain. Dragons of Midgard is ready to disrupt the NFT market forever with unique play to earn game",Dragon #5011,https://gateway.pinata.cloud/ipfs/QmbGGjeAo15gxPn554QjKWswUouXFpArDg7t6t3tB1haP2,Cream Green Background,Angelic Blue Wings,Fuscia Daisy Dragon,Smokey Distorted Scales,Shark Teeth Tail,Rose Crescent Ears,Spooked Eyes,Smiling Bunny Mouth,Small Stone Horns,Tornado Headpiece,SHIRE,Magical,Exploding Poopcorn,f,2021-10-17 18:19:03.352+05,2021-10-17 18:19:03.352+05
12,5012,"10000 Unique Dragons NFTs living, evolving and mutating on Etheruem Blockchain. Dragons of Midgard is ready to disrupt the NFT market forever with unique play to earn game.",Dragon #5012,https://gateway.pinata.cloud/ipfs/QmNvJts1AhoNZK6weXe3P4XYW8A26soonBthZGwAG3aKuu,Corn Nebula Background,Pink Crescent Wings,Lightning Jade Dragon,Checker Scales,Lucifer_s Tail,Lamb Sheep Ears,Bugged Eyes,Ecstatic Mouth,Orange Ram Horns,Purple S Headpiece,Argon Mountain,Electric Beam,Thunder Dragon,f,2021-10-17 18:19:03.386+05,2021-10-17 18:19:03.386+05
13,5013,"10000 Unique Dragons NFTs living, evolving and mutating on Etheruem Blockchain. Dragons of Midgard is ready to disrupt the NFT market forever with unique play to earn game",Dragon #5013,https://gateway.pinata.cloud/ipfs/QmSfYRsyr6VCFUEGP2AT8mhhXPE7WXpJB5hYSk9Y4hxeK2,Deep Sky Blue Background,Pterodactyl Wings,Moon Stone Dragon,Shackles Scales,White Diez Tail,Mermaid Ears,Bewildered Eyes,Aggresive Mouth,G Horns,Conch Shell Headpiece,Tundra Mountain,Ice Dragon,Ice Shards Breath,f,2021-10-17 18:19:03.394+05,2021-10-17 18:19:03.394+05
14,5014,"10000 Unique Dragons NFTs living, evolving and mutating on Etheruem Blockchain. Dragons of Midgard is ready to disrupt the NFT market forever with unique play to earn game.",Dragon #5014,https://gateway.pinata.cloud/ipfs/QmYHhXWZrtkpQXPiaQwkXpwQ8mv6SRX36feHF9BjvprmkF,Columbia Blue Background,Serpent Wings,Windstorm Dragon,Argyle Scales,Cat Tail,Devil Ears,Prideful Eyes,Raunchy Mouth,Thin Sheep Horns,Apostrophe Headpiece,Argon Mountain,Wind Breath,Windy Dragon,f,2021-10-17 18:19:03.396+05,2021-10-17 18:19:03.396+05
15,5015,"10000 Unique Dragons NFTs living, evolving and mutating on Etheruem Blockchain. Dragons of Midgard is ready to disrupt the NFT market forever with unique play to earn game",Dragon #5015,https://gateway.pinata.cloud/ipfs/QmU9FgqazeiQdYoqq92MdsyxoMyB1Sy7kbb4FWxKaBVSbq,Tiffany Spring Background,Raven Wings,Moon Stone Dragon,Aztec Scales,White Oar Tail,Bone Ears,Insomnia Eyes,Annoyed Mouth,Antelope Horns,Tuba Headpiece,Tundra Mountain,Ice Dragon,Ice Shards Breath,f,2021-10-17 18:19:03.397+05,2021-10-17 18:19:03.397+05
16,5016,"10000 Unique Dragons NFTs living, evolving and mutating on Etheruem Blockchain. Dragons of Midgard is ready to disrupt the NFT market forever with unique play to earn game",Dragon #5016,https://gateway.pinata.cloud/ipfs/QmQk6UhahC2Dqqiro3DmM5uzSRJ3bc5uEBZx7hZyqEmjKv,Pastel Green Background,Rouge Bat Wings,Corny Blue Dragon,Grilled Scales,Trident Tail,Parachute Ears,Focused Eyes,Repentant Mouth,Pudu Horns,Blood Ruby Headpiece,SHIRE,Magical,Exploding Poopcorn,f,2021-10-17 18:19:03.399+05,2021-10-17 18:19:03.399+05
17,5017,"10000 Unique Dragons NFTs living, evolving and mutating on Etheruem Blockchain. Dragons of Midgard is ready to disrupt the NFT market forever with unique play to earn game",Dragon #5017,https://gateway.pinata.cloud/ipfs/QmQE85a1fa3WTj3xv9LU9d7v3AYh5Zv1Zcxi9kenzSRdUn,Sun Glint Background,War Torn Moth Wings,Undead Dragon,Gutted Scacles,Bit Off Tail,Crown Tail Ears,Larva Snake Eyes,Courage Dog Mouth,Babirusa Horns,Squirting Headpiece,Shire,Infected,Virus Infection,f,2021-10-17 18:19:03.41+05,2021-10-17 18:19:03.41+05
18,5018,"10000 Unique Dragons NFTs living, evolving and mutating on Etheruem Blockchain. Dragons of Midgard is ready to disrupt the NFT market forever with unique play to earn game",Dragon #5018,https://gateway.pinata.cloud/ipfs/QmWyUirwPz2U8R8a3XoGxBvVtFjYg6pHsKiiSDbnb9m91F,Mademoiselle Background,Chrono Wings,Ocean Blue Dragon,Kilt Scales,Blue Uchiwa Tail,Sickle Ears,Glamorous Eyes,Smiling Bunny Mouth,Pudu Horns,Conch Shell Headpiece,CITRCA,Aquatic Dragon,WhirlPool,f,2021-10-17 18:19:03.413+05,2021-10-17 18:19:03.413+05
