id,dragonid,description,name,image,background,wings,body,bodyscales,tail,ears,eyes,mouth,horns,headpiece,territory,class,attacktype,isMinted,,
1,1,"10000 Unique Dragons NFTs living, evolving and mutating on Etheruem Blockchain. Dragons of Midgard is ready to disrupt the NFT market forever with unique play to earn game.",Dragon #0001,https://gateway.pinata.cloud/ipfs/Qmee1RvTUqYCWYLB9qxiTSCUw985rKQQsB9rwSKrku5Xhm,Hot Pink Background,Egyptian Teal Wings,Dark Shadow Dragon,Ikat Scales,Diamond Tail,Witch Nose Ears,Cute Eyes,Satiety Mouth,Hell Boy Horns,Carnelian Headpiece,Ashy Range,Lava Dragon,Molten Lava,f,2021-10-17 18:18:44.568+05,2021-10-17 18:18:44.568+05
2,2,"10000 Unique Dragons NFTs living, evolving and mutating on Etheruem Blockchain. Dragons of Midgard is ready to disrupt the NFT market forever with unique play to earn game",Dragon #0002,https://gateway.pinata.cloud/ipfs/QmX6CvpnRW3n7dNL4Vy66ttvM2KpXNbnBqY8CjcvXHQ2u7,Columbia Blue Background,Silver Vulture Wings,Vanilla Meteorite Dragon,Wavy Incensed Scales,Jaguar Tail,Slashed Puffy Ears,Confident Eyes,Puerile Mouth,Ram Horns,Sparky Headpiece,ICY Doman,Ice Fire,Dual Breath,f,2021-10-17 18:18:44.722+05,2021-10-17 18:18:44.722+05
3,3,"10000 Unique Dragons NFTs living, evolving and mutating on Etheruem Blockchain. Dragons of Midgard is ready to disrupt the NFT market forever with unique play to earn game",Dragon #0003,https://gateway.pinata.cloud/ipfs/QmfZs7bun7yyRCZHHZBkyaSKLtPb74n61Jw1R2WCofd36H,Jungle Background,Raven Wings,Corny Blue Dragon,Diamondback Scales,Trident Tail,Parachute Ears,Enlightened Eyes,Suffering Mouth,Juvenile Minotaur Horns,Apostrophe Headpiece,SHIRE,Magical,Exploding Poopcorn,f,2021-10-17 18:18:44.725+05,2021-10-17 18:18:44.725+05
4,4,"10000 Unique Dragons NFTs living, evolving and mutating on Etheruem Blockchain. Dragons of Midgard is ready to disrupt the NFT market forever with unique play to earn game.",Dragon #0004,https://gateway.pinata.cloud/ipfs/QmcUsjGMCzVvEHDEEZaSVRax34TadgrkaX2StEWyFevJhh,Magenta Background,Serpent Wings,Scaly Taipan Dragon,Kilt Scales,Golden Snake Tail,Aureolin Ears,Thinking Eyes,Sad Vampire Mouth,G Horns,Tornado Headpiece,Ranth Desert,Poisnous Dragon,Poison Bite,f,2021-10-17 18:18:44.727+05,2021-10-17 18:18:44.727+05
5,5,"10000 Unique Dragons NFTs living, evolving and mutating on Etheruem Blockchain. Dragons of Midgard is ready to disrupt the NFT market forever with unique play to earn game.",Dragon #0005,https://gateway.pinata.cloud/ipfs/QmQkW2udH9na9NxqEePRN4QRz52neMwazy2PVbShCKzu5o,Toscany Background,Sahara Wings,Morion Lava Dragon,Buckbeaks Feather Scales,Thin Barbed Tail,Zebu Horn Ears,Confident Eyes,Grumpy Mouth,Red Devil Horns,Blood Ruby Headpiece,Ashy Range,Lava Dragon,Volcanic Lava,f,2021-10-17 18:18:44.729+05,2021-10-17 18:18:44.729+05
6,6,"10000 Unique Dragons NFTs living, evolving and mutating on Etheruem Blockchain. Dragons of Midgard is ready to disrupt the NFT market forever with unique play to earn game",Dragon #0006,https://gateway.pinata.cloud/ipfs/QmZ8oh9Ntg3zBpU7K9bDwxVfu5kj5FW3iM95iWBLTeiLYk,Jungle Background,Jezebel Wings,Lilac Blue Dragon,Chevron Scales,Harpoon Tail,Pointy Molar Ears,Bewildered Eyes,Ulterior Mouth,Springbok Horns,Turban Headpiece,Tundra Mountain,Ice Dragon,Blue Fire Breath,f,2021-10-17 18:18:44.74+05,2021-10-17 18:18:44.74+05
7,7,"10000 Unique Dragons NFTs living, evolving and mutating on Etheruem Blockchain. Dragons of Midgard is ready to disrupt the NFT market forever with unique play to earn game",Dragon #0007,https://gateway.pinata.cloud/ipfs/QmV5DxTvRoDFnEg7xgC9JVDiawN1dPnCAZ4DnURRaianLe,Deep Sky Blue Background,Sahara Wings,Vanilla Meteorite Dragon,Ikat Scales,Barbed Fuscia Tail,Snail Ears,Arrogant Eyes,Egoistic Mouth,Springbok Horns,Emerald Crown Headpiece,ICY Doman,Ice Fire,Dual Breath,f,2021-10-17 18:18:44.746+05,2021-10-17 18:18:44.746+05
8,8,"10000 Unique Dragons NFTs living, evolving and mutating on Etheruem Blockchain. Dragons of Midgard is ready to disrupt the NFT market forever with unique play to earn game.",Dragon #0008,https://gateway.pinata.cloud/ipfs/QmW4fbkg3QCv2McD5KULLvS5PuqaTEZzXEdLbbjZkquAnS,Jungle Background,Vampire Wings,Scaly Taipan Dragon,Noodle Scales,Banana Tail,Aureolin Ears,Unamused Eyes,Sigh Mouth,Splinter Horns,Golden Moon Headpiece,Ranth Desert,Poisnous Dragon,Poison Bite,f,2021-10-17 18:18:44.751+05,2021-10-17 18:18:44.751+05
9,9,"10000 Unique Dragons NFTs living, evolving and mutating on Etheruem Blockchain. Dragons of Midgard is ready to disrupt the NFT market forever with unique play to earn game.",Dragon #0009,https://gateway.pinata.cloud/ipfs/QmRYoXHeCsyMbyGdxLkA8sfxWEK44dzJthJdRMeGnqwkqJ,Lavender Background,Jezebel Wings,Flamy Dragon,Argyle Scales,Yellow Spotted Tail,Apricloth Ears,Interested Eyes,Gratified Mouth,Beast Horns,Whirlpool Headpiece,Tundra Mountain,Ice Dragon,Ice Shuriken Breath,f,2021-10-17 18:18:44.758+05,2021-10-17 18:18:44.758+05
10,10,"10000 Unique Dragons NFTs living, evolving and mutating on Etheruem Blockchain. Dragons of Midgard is ready to disrupt the NFT market forever with unique play to earn game",Dragon #0010,https://gateway.pinata.cloud/ipfs/Qme4drrD6FskBxqXfhNQxcvDhdtobTmVWZh4nknX3dz2nm,Luminant Green Background,Armada Twine Wings,Moon Stone Dragon,Zebra Scales,Sea Boulder Tail,Bone Ears,Focused Eyes,Phlegmatic Mouth,Fire Horns,Star Sapphire Headpiece,Tundra Mountain,Ice Dragon,Ice Shards Breath,f,2021-10-17 18:18:44.764+05,2021-10-17 18:18:44.764+05
